t,theta1,theta2,theta3,theta4,dtheta3,dtheta4,foot_x,foot_y,foot_z,link3_z,link4_z,grf_contact,grf_sensor,tau_hip,tau_knee,estado_fsm,en_vuelo
0.038,0.20003242506372762,0.20626180442679437,0.41308174888352867,-1.3017242723160622,-0.042320911292539974,0.0029795008017529734,-0.6641388192672156,-0.10140009644949241,0.01496020400804901,0.1698435553241776,0.11495440674615143,29.640102551755717,29.640102551755717,5.0,5.0,CARGA,0
0.039,0.20004444034422803,0.20627185661096115,0.4130927455420298,-1.3017236212165089,0.010996658501129145,0.0006510995533687311,-0.6641338888922306,-0.10141030473476065,0.014952549971422813,0.16983362202441488,0.11494089848870681,30.051054205012775,30.051054205012775,5.0,5.0,CARGA,0
0.04,0.20004339932343093,0.2062768423287449,0.41315669666801014,-1.3017252711233651,0.06395112598036422,-0.001649906856337635,-0.6641299827991527,-0.10141965401972639,0.0149449125071556,0.16982705190059624,0.11493521752914436,30.461802376809878,30.461802376809878,5.0,5.0,CARGA,0
0.041,0.20002941128900148,0.206276837119542,0.4132732286606473,-1.3017291933242385,0.11653199263717284,-0.003922200873356688,-0.6641270814709663,-0.10142816329784746,0.014937260348465264,0.1698237932303998,0.11493728168888381,30.87219933021553,30.87219933021553,5.0,5.0,CARGA,0
0.042,0.20000258516749528,0.20627191331582187,0.41344195863175853,-1.301735357800732,0.16872997111122875,-0.006164476493517373,-0.6641251669189631,-0.10143585053259133,0.014929566369350805,0.16982379663513908,0.11494701073679774,31.282102780414462,31.282102780414462,5.0,5.0,CARGA,0
0.043000000000000003,0.19996302945483344,0.20626214038485324,0.4136624955215488,-1.3017437332533057,0.2205368897903172,-0.008375452573786833,-0.6641242225596417,-0.10144273276621718,0.01492180722398155,0.16982701483823062,0.11496432623593816,31.691375953834722,31.691375953834722,5.0,5.0,CARGA,0
0.044,0.1999108521507138,0.20624758524478717,0.4139344411267493,-1.301754287137553,0.27194560520047634,-0.01055388424710435,-0.6641242331006202,-0.10144882621579959,0.014913963012791631,0.16983340244155373,0.11498915139985147,32.09988761246111,32.09988761246111,5.0,5.0,CARGA,0
0.045,0.19984616069695033,0.20622831255670157,0.4142573910482263,-1.3017669857101701,0.32294992147699253,-0.012698572617207067,-0.6641251844349317,-0.10145414635791947,0.014906016973457295,0.16984291571859045,0.11502141095808965,32.50751204819757,32.50751204819757,5.0,5.0,CARGA,0
0.046,0.19976906191970828,0.20620438499412486,0.41463093556450514,-1.301781794083067,0.373544516278855,-0.014808372896743142,-0.6641270635431261,-0.10145870800328957,0.014897955195053006,0.16985551242329264,0.1150610310305152,32.91412905158297,32.91412905158297,5.0,5.0,CARGA,0
0.047,0.19967966197558285,0.20617586349147288,0.4150546604370782,-1.3017986762842066,0.4237248725730732,-0.016882201139603283,-0.6641298584026327,-0.10146252536245273,0.014889766353794104,0.16987115161368377,0.11510793901000108,33.31962385866156,33.31962385866156,5.0,5.0,CARGA,0
0.048,0.1995780663014509,0.20614280747275315,0.4155281476528505,-1.3018175953239135,0.4734872157722657,-0.018919039706846805,-0.6641335579038705,-0.10146561210356286,0.014881441468877848,0.1698897934892542,0.11516206345312491,33.72388707936217,33.72388707936217,5.0,5.0,CARGA,0
0.049,0.19946437956801175,0.20610527506181486,0.4160509761086103,-1.3018385132655084,0.5228284557598214,-0.020917941594761416,-0.6641381517726478,-0.10146798140315028,0.014872973677028209,0.16991139924126336,0.1152233339784603,34.126814610365045,34.126814610365045,5.0,5.0,CARGA,0
0.05,0.19933870563692074,0.20606332327534957,0.4166227222419928,-1.3018613912992518,0.5717461333824868,-0.022878033743465073,-0.664143630498393,-0.10146964599067751,0.014864358024447716,0.16993593091511183,0.11529168117207865,34.528307535046295,34.528307535046295,5.0,5.0,CARGA,0
0.051000000000000004,0.1992011475214096,0.20601700819977953,0.41724296061302374,-1.3018861898186869,0.6202383710309105,-0.02479851943500539,-0.6641499852678223,-0.10147061818759939,0.01485559127495667,0.16996335128399376,0.11536703649987842,34.92827201281827,34.92827201281827,5.0,5.0,CARGA,0
0.052000000000000005,0.19905180735028036,0.20596638515310361,0.4179112644399889,-1.301912868498568,0.66830382696514,-0.026678679881060513,-0.664157207903648,-0.10147090994156807,0.014846671733188849,0.16999362373308574,0.11544933222637292,35.32661915986036,35.32661915986036,5.0,5.0,CARGA,0
0.053,0.19889078633515309,0.20591150883270906,0.41862720609306353,-1.30194138637366,0.7159416530746558,-0.02851787509212068,-0.6641652908079817,-0.10147053285634963,0.014837599081780728,0.17002671215357124,0.11553850133957588,35.72326492301954,35.72326492301954,5.0,5.0,CARGA,0
