t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,u1,u2,F1,F2,footx,footy,footz,phase
3.89169274793573,-3.81149440442193,0.124975479430558,1.37484378798958,-2.20909764035963,-0.79579171706709,-0.518172766895758,1.69080904787862,1.94420566925596,1.819791375503,4.6655999999999,-7.02399733755143,26.3059730011429,-0.433201727142225,0.315835048739507,6.46561401640433e-10,1
3.89294274793573,-3.81249577737887,0.124324599329108,1.37695731612937,-2.20664331064507,-0.806399551682764,-0.523224908924989,1.69068348384905,1.9828010504442,1.81979137547536,4.66559999999984,-7.14080936032798,26.2147084061465,-0.433287375528243,0.315897492572808,6.50727131901174e-10,1
3.89419274793573,-3.81351038882989,0.123667442887741,1.37907010893175,-2.20414043577167,-0.816972662723339,-0.528215320374404,1.68962735553191,2.02188115881154,1.81979137543476,4.66559999999975,-7.25858656660095,26.1217209390354,-0.433374546412678,0.315961046409006,6.6435798529163e-10,1
3.89544274793573,-3.81453819309037,0.12300408581189,1.38118098585934,-2.2015883989788,-0.827507458795835,-0.533146271413422,1.68761378820028,2.06146271515787,1.81979137537421,4.6655999999996,-7.37729346476728,26.026984814745,-0.433463254313976,0.31602572083555,6.79531965419589e-10,1
3.89669274793573,-3.81557914006285,0.122334601050781,1.38328873393131,-2.19898656346031,-0.83800046903388,-0.538019957886049,1.68461765459639,2.10156130783581,1.81979137553863,4.66559999999994,-7.49689214949874,25.9304767554274,-0.433553514090677,0.316091526699356,6.854423868774e-10,1
3.89794274793573,-3.81663317543188,0.121659058878453,1.3853921104984,-2.19633427402396,-0.848448342515118,-0.542838501496214,1.68061556438865,2.14219141073572,1.81979137552315,4.66559999999991,-7.61734243180378,25.8321759715197,-0.433645340944432,0.31615847507838,6.90106485845554e-10,1
3.89919274793573,-3.81770024076574,0.120977526936653,1.38748984468968,-2.19363085796171,-0.858847847980217,-0.547603949887447,1.67558585943422,2.18336639214325,1.81979137470738,4.6655999999984,-7.7386019515153,25.7320641586424,-0.433738750399958,0.316226577279281,7.03753968295251e-10,1
3.90044274793573,-3.81878027362104,0.120290070313148,1.38958063893962,-2.19087562605728,-0.869195873333625,-0.552318277125171,1.66950860554746,2.22509852671477,1.81979137392396,4.66559999999748,-7.8606263016109,25.6301254813356,-0.433833758276382,0.316295844837663,7.1821352337631e-10,1
3.90169274793573,-3.81987320774597,0.11959675172618,1.39166317201709,-2.18806787469229,-0.879489424538611,-0.556983385394306,1.6623655750622,2.2673990206428,1.81979137190115,4.66559999999568,-7.98336915198255,25.5263465433986,-0.433930380664248,0.316366289500189,7.24294960813276e-10,1
3.90294274793573,-3.82097897326266,0.118897631580578,1.39373610157467,-2.18520688724804,-0.8897256250063,-0.561601104113359,1.65414023318673,2.31027803001089,1.81979136625284,4.66559999999105,-8.10678239475051,25.4207163509419,-0.434028633932551,0.316437923195743,7.29610025174132e-10,1
3.90419274793573,-3.82209749676485,0.118192768003294,1.39579806551598,-2.18229193487829,-0.899901715261098,-0.566173189555539,1.6448177310364,2.35374467049896,1.81979135007641,4.66559999997661,-8.23081623828823,25.3132263136094,-0.434128534709368,0.316510758034274,7.43142419129539e-10,1
3.90544274793573,-3.82322870142278,0.117482216928749,1.39784768352812,-2.17932227750755,-0.910015052312092,-0.570701325174648,1.63438489365496,2.39780703169067,1.81979137553154,4.66559999999996,-8.35541970577843,25.2038699442193,-0.434230099851751,0.316584806308154,7.56748032293419e-10,1
3.90669274793573,-3.824372507188,0.116766032299814,1.39988356015749,-2.17629716595272,-0.920063108304282,-0.575187123095644,1.62283019538303,2.44247220706151,1.81979137546542,4.66559999999989,-8.48053972339905,25.0926435641111,-0.434333346421423,0.316660080473122,7.63130739156459e-10,1
3.90794274793573,-3.82552883096454,0.116044266105593,1.40190428712538,-2.17321584307421,-0.930043469839308,-0.579632122274814,1.61014374213731,2.48774631291271,1.81979137519978,4.66559999999968,-8.60612252344723,24.9795453438257,-0.434438291694721,0.316736593119435,7.69236400272044e-10,1
3.90919274793573,-3.82669758670253,0.115316968412381,1.40390844460706,-2.1700775444506,-0.939953837570013,-0.584037787715539,1.59631726173543,2.53363449899383,1.81979137167158,4.66559999999832,-8.73211303754571,24.8645757979303,-0.434544953143902,0.316814356971753,7.82526621626034e-10,1
3.91044274793573,-3.82787868550241,0.114584187456298,1.40589460274724,-2.1668814993533,-0.949792025455142,-0.588405510647104,1.58134408805431,2.58014096490189,1.8197913174035,4.66559999997334,-8.85845492694138,24.7477378195515,-0.434653348406033,0.316893384891347,7.95157665406387e-10,1
3.91169274793573,-3.82907203581869,0.113845969859952,1.40786132473491,-2.16362693284924,-0.959555959195857,-0.592736609803091,1.56521912900562,2.62726899439112,1.81979137227289,4.66559999999947,-8.98509220853774,24.6290354703887,-0.434763495257774,0.316973689855596,8.0196284855949e-10,1
3.91294274793573,-3.83027754362086,0.113102360658176,1.40980716887404,-2.16031306670953,-0.969243675450162,-0.597032328760648,1.54793884404802,2.67502097490712,1.81975138917431,4.66559999990613,-9.11173440522402,24.508657060282,-0.434875411627009,0.317055284929676,8.08981458211289e-10,1
3.91419274793573,-3.83149511248319,0.112353403327029,1.41173068976418,-2.15693911998599,-0.978853321346908,-0.601293834806259,1.52950123152443,2.72339840906075,1.79461496411768,4.6655999999995,-9.09367626806963,24.5006194348957,-0.434989115574844,0.317138183267283,8.21910683609928e-10,1
3.91544274793573,-3.83272464368705,0.111599139883774,1.41363043977581,-2.1535043099486,-0.988383153631702,-0.605522218985804,1.50990580895373,2.77240193280688,1.76896734199974,4.66559999997353,-9.07414505032531,24.4945329748703,-0.43510462526402,0.317222398113263,8.33469623179317e-10,1
3.91669274793573,-3.83396603642137,0.11083961111809,1.4155049720749,-2.15000785413589,-0.997831536913496,-0.60971849717727,1.48915357364796,2.82203135341083,1.74292130797895,4.66559999999826,-9.05379603727821,24.4899307968547,-0.435221958933127,0.317307942781493,8.40805819066204e-10,1
3.91794274793573,-3.83521918793397,0.110074856611657,1.41735284243598,-2.14644897103157,-1.00719694273315,-0.613883606757712,1.4672469751239,2.87228566942385,1.71649419525852,4.66559999999995,-9.03272961496008,24.4867760757254,-0.435341134908623,0.317394830627723,8.48838275710473e-10,1
3.91919274793573,-3.83648399361757,0.109304914767593,1.41917261031364,-2.142826880544,-1.01647794898331,-0.618018405184725,1.44418989932627,2.92316308286491,1.68970371255303,4.66559999999983,-9.01104696681212,24.4850286686892,-0.435462171587568,0.317483075050833,8.6129930618184e-10,1
3.92044274793573,-3.83776034710928,0.108529822917632,1.42096284025455,-2.13914080489399,-1.02567323894935,-0.622123669943042,1.41998764521821,2.97466101878472,1.66256772031168,4.66559999999999,-8.98884877460944,24.4846460180299,-0.435585087406122,0.317572689495399,8.71715370026616e-10,1
3.92169274793573,-3.83904814048538,0.10774961756641,1.42272210482178,-2.13538997058153,-1.03478159938222,-0.62620009943048,1.39464687837869,3.02677616606683,1.63510422874777,4.66559999995807,-8.96623523046355,24.4855830022123,-0.435709900813482,0.317663687427837,8.79675356862952e-10,1
3.92294274793573,-3.84034726440375,0.106964334410277,1.42444898613848,-2.13157360884376,-1.04380191937607,-0.630248309118824,1.36817559835228,3.0795044975417,1.60733149027363,4.66559999998173,-8.94330654619094,24.4877913922595,-0.435836630282933,0.317756082311069,8.88797176482048e-10,1
3.92419274793573,-3.84165760818588,0.10617400836932,1.42614207683968,-2.1276909560399,-1.05273318967739,-0.634268829925403,1.3405831198238,3.13284128265505,1.57926780308586,4.66559999998958,-8.92016182113153,24.4912206874585,-0.435965294295385,0.317849887605924,9.00697280648011e-10,1
3.92544274793573,-3.84297905991259,0.105378673701336,1.42779998139877,-2.12374125447855,-1.06157450161909,-0.638262108089194,1.31188004585308,3.18678110795604,1.5509316551432,4.66559999999221,-8.89689982734815,24.4958173406305,-0.436095911308554,0.317945116773058,9.09930335940556e-10,1
